_id,OCCUPANCY_DATE,SECTOR,SHELTER_POSTAL_CODE,CAPACITY,SHELTER_PROVINCE,FACILITY_NAME,SHELTER_NAME,OCCUPANCY,ORGANIZATION_NAME,SHELTER_ADDRESS,SHELTER_CITY,PROGRAM_NAME
1914784,2021-01-02T05:00:00,Men,M6H 3Z5,15,ON,Christie Ossington South Hostel,Christie Ossington Men's Hostel,8,Christie Ossington Neighbourhood Centre,973 Lansdowne Avenue,Toronto,Christie Ossington Men's Hostel South
1914785,2021-01-02T05:00:00,Families,M6G 3B1,76,ON,Christie Refugee Welcome Centre,Christie Refugee Welcome Centre,27,"Christie Refugee Welcome Centre, Inc.",43 Christie Street,Toronto,Christie Refugee Welcome Ctr - Settlement and Support
1914786,2021-01-02T05:00:00,Families,M1P 4V8,215,ON,Birkdale Residence,Birkdale Residence,156,City of Toronto,1229 Ellesmere Road,Toronto,Birkdale Residence - Bedded Program
1914787,2021-01-02T05:00:00,Families,M1P 4V8,130,ON,Birkdale Residence Motel (Fam),Birkdale Residence,94,City of Toronto,1229 Ellesmere Road,Toronto,Birkdale Residence - Toronto Plaza Hotel Program (Non Refugees)
1914788,2021-01-02T05:00:00,Men,M1P 4V8,7,ON,Birkdale Residence Motel (Men's),Birkdale Residence,5,City of Toronto,1229 Ellesmere Road,Toronto,Birkdale Residence  - Single Male Program
1914789,2021-01-02T05:00:00,Men,M3M 2X4,12,ON,Downsview Dells 1651 Sheppard W,Downsview Dells,10,City of Toronto,1651 Sheppard Ave West,Toronto,Downsview Dells Bedded Program
1914790,2021-01-02T05:00:00,Co-ed,M1E 2M6,200,ON,Family Residence - Edward  Co-Ed,Family Residence,0,City of Toronto,4222 Kingston Road,Toronto,Edward Village Singles Program
1914791,2021-01-02T05:00:00,Families,M1E 2M6,200,ON,Family Residence - Edward Villag,Family Residence,0,City of Toronto,4222 Kingston Road,Toronto,Family Residence - Edward Village Hotel
1914792,2021-01-02T05:00:00,Families,M1E 2M6,200,ON,Family Residence - LI Site,Family Residence,41,City of Toronto,4222 Kingston Road,Toronto,Family Residence - LI Site (Internal Referral Only)
1914793,2021-01-02T05:00:00,Families,M1E 2M6,48,ON,Family Residence - MA Site,Family Residence,37,City of Toronto,4222 Kingston Road,Toronto,Family Residence - MA Site (Internal Referral Only)
1914794,2021-01-02T05:00:00,Families,M1E 2M6,20,ON,Family Residence - Main Building,Family Residence,56,City of Toronto,4222 Kingston Road,Toronto,Family Residence - Main
1914795,2021-01-02T05:00:00,Families,M1E 2M6,0,ON,Family Residence - New Plaza,Family Residence,0,City of Toronto,4222 Kingston Road,Toronto,Family Residence - New Plaza (Internal Referral Only)
